SNo.,document_id,source_group,corpus_pack,file_name,file_extension,relative_path,absolute_path,file_size_bytes,last_modified_datetime,sha256_checksum,supported_file_type,extraction_method_hint,index_in_rag,ingest_status,notes
146,DOC_000147,corpus_data,01_RAG_Public_Deal_Documents,IFC_FP_Energy_EF_SII.html,.html,corpus/01_RAG_Public_Deal_Documents/IFC_FP_Energy_EF_SII.html,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/IFC_FP_Energy_EF_SII.html,94736,2026-06-25 17:23:23,55302c9a11c179377b27a930bf4dcbe410070f1eb403cfa306c835acff0dca24,Yes,read_html_file,Yes,pending,
147,DOC_000148,corpus_data,01_RAG_Public_Deal_Documents,source_urls.csv:Zone.Identifier,.identifier,corpus/01_RAG_Public_Deal_Documents/source_urls.csv:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/source_urls.csv:Zone.Identifier,25,2026-06-25 17:23:23,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
148,DOC_000149,corpus_data,01_RAG_Public_Deal_Documents,Enphase_Energy_submissions.json,.json,corpus/01_RAG_Public_Deal_Documents/Enphase_Energy_submissions.json,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/Enphase_Energy_submissions.json,328270,2026-06-25 17:23:23,c777636bf0dec38e57968eace7b09308a91f4bdc24e705335b073a6ea56195ae,Yes,read_json_file,Yes,pending,
149,DOC_000150,corpus_data,01_RAG_Public_Deal_Documents,IFC_PCR_Renewables_SII.html:Zone.Identifier,.identifier,corpus/01_RAG_Public_Deal_Documents/IFC_PCR_Renewables_SII.html:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/IFC_PCR_Renewables_SII.html:Zone.Identifier,25,2026-06-25 17:54:44,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
150,DOC_000151,corpus_data,01_RAG_Public_Deal_Documents,IFC_Candi_Solar_CI_SII.html,.html,corpus/01_RAG_Public_Deal_Documents/IFC_Candi_Solar_CI_SII.html,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/IFC_Candi_Solar_CI_SII.html,98035,2026-06-25 17:23:23,dc117ed6a52cb9d19add01ee62b07c43f6b500585620562f73d0e95bfdba8425,Yes,read_html_file,Yes,pending,
151,DOC_000152,corpus_data,01_RAG_Public_Deal_Documents,Enphase_Energy_Latest_10K.html,.html,corpus/01_RAG_Public_Deal_Documents/Enphase_Energy_Latest_10K.html,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/Enphase_Energy_Latest_10K.html,2973886,2026-06-25 17:23:23,11deca46cf8d4a3d92918ad8b75f65466c9d959fecf5f7363a7ce13e946efa70,Yes,read_html_file,Yes,pending,
152,DOC_000153,corpus_data,01_RAG_Public_Deal_Documents,ADB_Guzar_Solar_BESS_Project_Page.pdf:Zone.Identifier,.identifier,corpus/01_RAG_Public_Deal_Documents/ADB_Guzar_Solar_BESS_Project_Page.pdf:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/ADB_Guzar_Solar_BESS_Project_Page.pdf:Zone.Identifier,25,2026-06-25 17:23:23,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
153,DOC_000154,corpus_data,01_RAG_Public_Deal_Documents,ADB_Guzar_Solar_BESS_Project_Page.pdf:Zone.Identifier:Zone.Identifier,.identifier,corpus/01_RAG_Public_Deal_Documents/ADB_Guzar_Solar_BESS_Project_Page.pdf:Zone.Identifier:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/ADB_Guzar_Solar_BESS_Project_Page.pdf:Zone.Identifier:Zone.Identifier,25,2026-06-25 17:54:27,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
154,DOC_000155,corpus_data,01_RAG_Public_Deal_Documents,README.txt:Zone.Identifier:Zone.Identifier,.identifier,corpus/01_RAG_Public_Deal_Documents/README.txt:Zone.Identifier:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/README.txt:Zone.Identifier:Zone.Identifier,25,2026-06-25 17:54:55,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
155,DOC_000156,corpus_data,01_RAG_Public_Deal_Documents,IFC_Elementum_Debt_SII.metadata.json:Zone.Identifier,.identifier,corpus/01_RAG_Public_Deal_Documents/IFC_Elementum_Debt_SII.metadata.json:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/IFC_Elementum_Debt_SII.metadata.json:Zone.Identifier,25,2026-06-25 17:54:44,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
156,DOC_000157,corpus_data,01_RAG_Public_Deal_Documents,NextEra_Energy_submissions.json:Zone.Identifier,.identifier,corpus/01_RAG_Public_Deal_Documents/NextEra_Energy_submissions.json:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/NextEra_Energy_submissions.json:Zone.Identifier,25,2026-06-25 17:54:53,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
157,DOC_000158,corpus_data,01_RAG_Public_Deal_Documents,IFC_Azure_RG_Project_SII.metadata.json,.json,corpus/01_RAG_Public_Deal_Documents/IFC_Azure_RG_Project_SII.metadata.json,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/IFC_Azure_RG_Project_SII.metadata.json,460,2026-06-25 17:23:23,d81a4ac55f1f91cfb122358a409debe02ea189bc4d6f095cf278a731da15130e,Yes,read_json_file,Yes,pending,
158,DOC_000159,corpus_data,01_RAG_Public_Deal_Documents,ADB_Guzar_Solar_BESS_ESIA_Part_2.pdf:Zone.Identifier:Zone.Identifier,.identifier,corpus/01_RAG_Public_Deal_Documents/ADB_Guzar_Solar_BESS_ESIA_Part_2.pdf:Zone.Identifier:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/ADB_Guzar_Solar_BESS_ESIA_Part_2.pdf:Zone.Identifier:Zone.Identifier,25,2026-06-25 17:54:27,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
159,DOC_000160,corpus_data,01_RAG_Public_Deal_Documents,IFC_FRV_Solar_India_SII.metadata.json,.json,corpus/01_RAG_Public_Deal_Documents/IFC_FRV_Solar_India_SII.metadata.json,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/IFC_FRV_Solar_India_SII.metadata.json,465,2026-06-25 17:23:23,4f5460535197784436730263485916a81e0e8d8057411241c1a99141fd49ce5d,Yes,read_json_file,Yes,pending,
160,DOC_000161,corpus_data,01_RAG_Public_Deal_Documents,IFC_FRV_Solar_India_SII.metadata.json:Zone.Identifier,.identifier,corpus/01_RAG_Public_Deal_Documents/IFC_FRV_Solar_India_SII.metadata.json:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/IFC_FRV_Solar_India_SII.metadata.json:Zone.Identifier,25,2026-06-25 17:54:44,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
161,DOC_000162,corpus_data,01_RAG_Public_Deal_Documents,IFC_Azure_RG_Project_SII.html:Zone.Identifier,.identifier,corpus/01_RAG_Public_Deal_Documents/IFC_Azure_RG_Project_SII.html:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/IFC_Azure_RG_Project_SII.html:Zone.Identifier,25,2026-06-25 17:54:44,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
162,DOC_000163,corpus_data,01_RAG_Public_Deal_Documents,IFC_Candi_Solar_CI_SII.metadata.json:Zone.Identifier,.identifier,corpus/01_RAG_Public_Deal_Documents/IFC_Candi_Solar_CI_SII.metadata.json:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/IFC_Candi_Solar_CI_SII.metadata.json:Zone.Identifier,25,2026-06-25 17:54:44,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
163,DOC_000164,corpus_data,01_RAG_Public_Deal_Documents,IFC_FP_Energy_EF_SII.html:Zone.Identifier,.identifier,corpus/01_RAG_Public_Deal_Documents/IFC_FP_Energy_EF_SII.html:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/IFC_FP_Energy_EF_SII.html:Zone.Identifier,25,2026-06-25 17:54:44,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
164,DOC_000165,corpus_data,01_RAG_Public_Deal_Documents,ADB_Energy_Storage_Green_Hydrogen_Project_Page.pdf:Zone.Identifier,.identifier,corpus/01_RAG_Public_Deal_Documents/ADB_Energy_Storage_Green_Hydrogen_Project_Page.pdf:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/corpus/01_RAG_Public_Deal_Documents/ADB_Energy_Storage_Green_Hydrogen_Project_Page.pdf:Zone.Identifier,25,2026-06-25 17:23:23,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
